,Team,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Season,Date,Opponent
1,Chicago Blackhawks,1,0,0,1,1,.500,0,0,0,4,5,4.00,5.00,100.0,50.0,100.0,50.0,13.0,35.0,36.2,2024,2024/04/18,Los Angeles Kings
2,Calgary Flames,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,0.0,50.0,0.0,50.0,37.0,17.0,41.9,2024,2024/04/18,San Jose Sharks
3,Colorado Avalanche,1,1,0,0,2,1.000,1,1,0,5,1,5.00,1.00,25.0,50.0,25.0,50.0,27.0,26.0,32.7,2024,2024/04/18,Edmonton Oilers
4,Edmonton Oilers,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,50.0,75.0,50.0,75.0,26.0,27.0,67.3,2024,2024/04/18,Colorado Avalanche
5,Vancouver Canucks,1,0,1,0,0,.000,0,0,0,2,4,2.00,4.00,33.3,100.0,33.3,100.0,20.0,26.0,50.0,2024,2024/04/18,Winnipeg Jets
6,Anaheim Ducks,1,1,0,0,2,1.000,1,1,0,4,1,4.00,1.00,100.0,66.7,100.0,100.0,23.0,33.0,37.8,2024,2024/04/18,Vegas Golden Knights
7,Los Angeles Kings,1,1,0,0,2,1.000,0,1,0,5,4,5.00,4.00,50.0,0.0,50.0,0.0,35.0,13.0,63.8,2024,2024/04/18,Chicago Blackhawks
8,San Jose Sharks,1,0,1,0,0,.000,0,0,0,1,5,1.00,5.00,50.0,100.0,50.0,100.0,17.0,37.0,58.1,2024,2024/04/18,Calgary Flames
9,Minnesota Wild,1,0,1,0,0,.000,0,0,0,3,4,3.00,4.00,50.0,66.7,0.0,66.7,24.0,27.0,41.2,2024,2024/04/18,Seattle Kraken
10,Winnipeg Jets,1,1,0,0,2,1.000,1,1,0,4,2,4.00,2.00,0.0,66.7,0.0,66.7,26.0,20.0,50.0,2024,2024/04/18,Vancouver Canucks
11,Vegas Golden Knights,1,0,1,0,0,.000,0,0,0,1,4,1.00,4.00,33.3,0.0,0.0,0.0,33.0,23.0,62.2,2024,2024/04/18,Anaheim Ducks
12,Seattle Kraken,1,1,0,0,2,1.000,1,1,0,4,3,4.00,3.00,33.3,50.0,33.3,100.0,27.0,24.0,58.8,2024,2024/04/18,Minnesota Wild
